"Gene symbol (zebrafish, Ensembl/ZFIN)",Common aliases,"Gene name (Ensembl/ZFIN, authoritative)",Gene name (plain-language label),Ensembl gene ID (D. rerio),ZFIN ID,Chr (GRCz11),Start (GRCz11),End (GRCz11),Strand,Biotype,ID verification note,Ensembl link,ZFIN link,Pathway group,Pathway / family (detail),Trait category,Evidence type,Evidence strength,Verification depth,Source species,Reported locus in source study,Proposed effect on growth,Primary reference (verified),Reference title,DOI,PMID,source_catalog,gene_symbol_norm,evidence_bucket,in_pangasius_catalog,has_verified_marker_variant,method,confidence,catfish_symbol,chrom_acc,start,end,note,cat_chrom,pos_check,locus_key,shared_locus_with
insrb,INSRb,insulin receptor b,insulin receptor b,ENSDARG00000071524,ZDB-GENE-020503-4,22,10927370.0,11054244.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Insulin / nutrient signalling,Growth rate,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicated insulin receptor paralogue,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,insrb,C,False,False,direct_symbol_match,high,insrb,NC_069720.1,12183521.0,12259828.0,,chr11,ok,chr11:12183521-12259828,
irs1,IRS1,insulin receptor substrate 1,insulin receptor substrate 1,ENSDARG00000054087,ZDB-GENE-030131-872,15,35888549.0,35930070.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Insulin / nutrient signalling,Growth rate; muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss,,Key adaptor coupling INSR/IGF1R to PI3K-AKT-mTOR,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,irs1,C,False,False,direct_symbol_match,high,irs1,NC_069723.1,1210621.0,1230302.0,,chr14,ok,chr14:1210621-1230302,
irs2a,IRS2,insulin receptor substrate 2a,insulin receptor substrate 2a,ENSDARG00000037099,ZDB-GENE-040426-975,1,29211540.0,29228393.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Insulin / nutrient signalling,Growth rate,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Adaptor protein in insulin/IGF signal transduction,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,irs2a,C,False,False,direct_symbol_match,high,irs2a,NC_069735.1,8130272.0,8142362.0,,chr26,ok,chr26:8130272-8142362,
irs2b,IRS2b,insulin receptor substrate 2b,insulin receptor substrate 2b,ENSDARG00000075282,ZDB-GENE-081104-462,9,8429239.0,8454060.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Insulin / nutrient signalling,Growth rate,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicate IRS2 paralogue,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,irs2b,C,False,False,direct_symbol_match,high,irs2b,NC_069714.1,12846841.0,12860728.0,,chr5,ok,chr5:12846841-12860728,
itgb3a,ITGB3,integrin beta 3a,integrin beta 3a,ENSDARG00000056767,ZDB-GENE-071207-1,3,19621034.0,19649535.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",Cell adhesion,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,,Integrin in phagosome pathway within growth-associated region,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,itgb3a,A,False,False,direct_symbol_match,high,itgb3a,NC_069722.1,8018848.0,8036155.0,,chr13,ok,chr13:8018848-8036155,
jak2a,JAK2,Janus kinase 2a,Janus kinase 2a,ENSDARG00000104808,ZDB-GENE-980526-481,21,249970.0,294747.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH signal transduction,Growth rate,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oreochromis niloticus,,Kinase transducing GHR activation to STAT5,Perez-Sanchez J et al. (2018) Frontiers in Endocrinology 9:687,Somatotropic axis regulation unravels the differential effects of nutritional and environmental factors in growth performance of marine farmed fishes,10.3389/fendo.2018.00687,30538673,teleost,jak2a,B,False,False,direct_symbol_match,high,jak2a,NC_069724.1,24613365.0,24641210.0,,chr15,ok,chr15:24613365-24641210,
jak2b,JAK2b,Janus kinase 2b,Janus kinase 2b,ENSDARG00000018882,ZDB-GENE-980526-123,5,66043820.0,66121852.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH signal transduction,Growth rate,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Duplicated JAK2 paralogue,Perez-Sanchez J et al. (2018) Frontiers in Endocrinology 9:687,Somatotropic axis regulation unravels the differential effects of nutritional and environmental factors in growth performance of marine farmed fishes,10.3389/fendo.2018.00687,30538673,teleost,jak2b,B,False,False,direct_symbol_match,high,jak2b,NC_069733.1,9151153.0,9180768.0,,chr24,ok,chr24:9151153-9180768,
jun,"JUN, AP-1","Jun proto-onco, AP-1 transcription factor subunit","Jun proto-oncogene, AP-1 transcription factor subunit",ENSDARG00000043531,ZDB-GENE-030131-7859,20,15552657.0,15554606.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Growth signalling,Body weight,GWAS/QTL; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy4,AP-1 component transducing growth signals to the nucleus,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,jun,A,False,False,direct_symbol_match,high,jun,NC_069728.1,5079328.0,5081465.0,,chr19,ok,chr19:5079328-5081465,
kat2a,"KAT2A, GCN5",K(lysine) acetyltransferase 2A,lysine acetyltransferase 2A,ENSDARG00000104734,ZDB-GENE-080403-11,3,17653784.0,17680114.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Chromatin,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy13,Histone acetyltransferase acetylating TBX5 in heart and limb development,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,kat2a,A,False,False,direct_symbol_match,high,kat2a,NC_069722.1,6485252.0,6498187.0,,chr13,ok,chr13:6485252-6498187,
kcnq5a,KCNQ5,"potassium voltage-gated channel, KQT-like subfamily, member 5a","potassium voltage-gated channel, KQT-like subfamily, member 5a",ENSDARG00000069954,ZDB-GENE-090312-185,13,27378857.0,27621246.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Ion channel,Growth traits,GWAS/QTL,A - named in a verified primary teleost study,Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Confirmed as a candidate gene in the flounder paper.,Paralichthys olivaceus; Danio rerio,,Potassium channel in growth-associated region,Liang S et al. (2026) Biology 15:1246,Genetic dissection of growth traits and identification of candidate genes in Japanese flounder (Paralichthys olivaceus) using single- and multi-trait genome-wide association analyses,10.3390/biology15151246,,teleost,kcnq5a,A,False,False,direct_symbol_match,high,kcnq5a,NC_069712.1,14739321.0,14865413.0,,chr3,ok,chr3:14739321-14865413,
kif21a,KIF21A,kinesin family member 21A,kinesin family member 21A,ENSDARG00000061131,ZDB-GENE-110411-237,25,35683956.0,35765924.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Cytoskeleton,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy2,Kinesin associated with growth in livestock; trout growth candidate,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,kif21a,A,False,False,direct_symbol_match,high,kif21a,NC_069718.1,16367667.0,16411487.0,,chr9,ok,chr9:16367667-16411487,
kiss1,"KISS1, kisspeptin",KiSS-1 metastasis suppressor,KiSS-1 metastasis-suppressor,ENSDARG00000075829,ZDB-GENE-080128-1,11,23311452.0,23322182.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Life-history, sex & maturation",Reproductive axis,Maturation-linked size,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Upstream regulator of GnRH; links puberty timing to somatic growth trade-off,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,kiss1,C,False,False,direct_symbol_match,high,kiss1,NC_069729.1,8203998.0,8208952.0,,chr20,ok,chr20:8203998-8208952,
ktn1,"KTN1, kinectin",kinectin 1,kinectin 1,ENSDARG00000032802,ZDB-GENE-030408-4,17,43926523.0,44002032.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Cytoskeleton,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis niloticus; Danio rerio,,Kinesin receptor intercepted by body-trait lead SNPs,Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,ktn1,A,False,False,direct_symbol_match,high,ktn1,NC_069719.1,15855343.0,15885748.0,,chr10,ok,chr10:15855343-15885748,
lamb4,LAMB4,"laminin, beta 4",laminin subunit beta 4,ENSDARG00000039133,ZDB-GENE-021226-2,25,31633322.0,31702970.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Multiple growth traits,GWAS/QTL,A - named in a verified primary teleost study,Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Confirmed as a candidate gene in the flounder paper.,Paralichthys olivaceus,,ECM-receptor interaction pathway gene associated with multiple morphometric traits,Liang S et al. (2026) Biology 15:1246,Genetic dissection of growth traits and identification of candidate genes in Japanese flounder (Paralichthys olivaceus) using single- and multi-trait genome-wide association analyses,10.3390/biology15151246,,teleost,lamb4,A,False,False,direct_symbol_match,high,lamb4,NC_069718.1,18341824.0,18360553.0,,chr9,ok,chr9:18341824-18360553,
lamp2,LAMP2,lysosomal-associated membrane protein 2,lysosomal associated membrane protein 2,ENSDARG00000014914,ZDB-GENE-030729-9,14,33473804.0,33481618.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Autophagy-lysosomal,Body weight,GWAS/QTL; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,,Essential for autophagosome-lysosome fusion; proteolytic control of muscle mass,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,lamp2,A,False,False,direct_symbol_match,high,lamp2,NC_069716.1,15677536.0,15684077.0,,chr7,ok,chr7:15677536-15684077,
lcorl,LCORL,ligand dependent nuclear receptor corepressor-like,ligand dependent nuclear receptor corepressor like,ENSDARG00000070098,ZDB-GENE-030131-6300,1,23573224.0,23596391.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Transcription / body size,Body size,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,LCORL-NCAPG locus is the leading body-size locus across vertebrates,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,lcorl,C,False,False,direct_symbol_match,high,lcorl,NC_069737.1,6879134.0,6906957.0,,chr28,ok,chr28:6879134-6906957,
lepa,"LEP, leptin-a",leptin a,leptin a,ENSDARG00000091085,ZDB-GENE-081001-1,18,10689772.0,10690365.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake; body weight,Functional; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss; Cyprinus carpio,,Anorexigenic adipostat in mammals; in fish primarily a glucose-regulating and growth-modulating signal; lepr mutants show altered growth and appetite gene expression,Michel M et al. (2016) PNAS 113:3084-3089,"Leptin signaling regulates glucose homeostasis, but not adipostasis, in the zebrafish",10.1073/pnas.1513212113,26903647,teleost,lepa,A,False,False,direct_symbol_match,high,lepa,NC_069715.1,8169572.0,8174689.0,,chr6,ok,chr6:8169572-8174689,lepb
lepb,LEP-b,leptin b,leptin b,ENSDARG00000045548,ZDB-GENE-041210-183,4,19031768.0,19033805.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake,Pathway core; Expression,"B - verified primary study, supporting evidence",Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Duplicated leptin paralogue in teleosts,Gorissen M et al. (2009) Journal of Endocrinology 201:329-339,Two divergent leptin paralogues in zebrafish (Danio rerio) that originate early in teleostean evolution,10.1677/JOE-09-0034,19293295,teleost,lepb,B,False,False,blast_ortholog,low,lepa,NC_069715.1,8169572.0,8174689.0,BLAST ortholog (protein XP_053090950.1); low sequence identity (31.1%) - flagged for manual review,chr6,ok,chr6:8169572-8174689,lepa
lepr,LEPR,leptin receptor,leptin receptor,ENSDARG00000070961,ZDB-GENE-080104-1,6,31184058.0,31233696.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake; body weight,Functional; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Leptin receptor; mutants have normal adiposity but altered glucose homeostasis and growth signalling,Michel M et al. (2016) PNAS 113:3084-3089,"Leptin signaling regulates glucose homeostasis, but not adipostasis, in the zebrafish",10.1073/pnas.1513212113,26903647,teleost,lepr,A,False,False,direct_symbol_match,high,lepr,NC_069711.1,21198298.0,21250104.0,,chr2,ok,chr2:21198298-21250104,
lig3,LIG3,"ligase III, DNA, ATP-dependent",DNA ligase 3,ENSDARG00000052553,ZDB-GENE-030131-8453,5,60847823.0,60873092.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",DNA repair,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Confirmed as a candidate gene in the grass carp paper.,Ctenopharyngodon idella; Danio rerio,SLG24_30276273 (C. idella),"DNA repair enzyme near growth-associated SNP; mitochondrial function. The study analysed body weight, body length, body height and body depth, and reported 90 significant SNPs across 14 chromosomes.",Chen Y et al. (2025) Animals 15:1888,Genome-wide association analysis and genomic selection for growth traits in grass carp (Ctenopharyngodon idella),10.3390/ani15131888,,teleost,lig3,A,False,False,direct_symbol_match,high,lig3,NC_069736.1,14221987.0,14232246.0,,chr27,ok,chr27:14221987-14232246,
lpla,LPL; lpl,lipoprotein lipase a,lipoprotein lipase,ENSDARG00000087697,ZDB-GENE-990415-139,22,15624371.0,15630421.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid metabolism,Lipid deposition; growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Sparus aurata,,Hydrolyses circulating triglycerides for tissue uptake,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,lpla,C,False,False,blast_ortholog,high,lpla,NC_069720.1,13064629.0,13073494.0,BLAST ortholog (protein XP_026786483.1),chr11,ok,chr11:13064629-13073494,
lrp5,LRP5,low density lipoprotein receptor-related protein 5,LDL receptor related protein 5,ENSDARG00000006921,ZDB-GENE-050518-2,25,10640623.0,10769039.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,Wnt signalling,Bone mass; body size,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Wnt co-receptor determining bone mass,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,lrp5,C,False,False,direct_symbol_match,high,lrp5,NC_069716.1,29809265.0,29837127.0,,chr7,ok,chr7:29809265-29837127,
magi1b,MAGI1; magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1b","membrane associated guanylate kinase, WW and PDZ domain containing 1",ENSDARG00000003169,ZDB-GENE-030131-5110,11,18873113.0,19091767.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,Growth rate,Growth rate (days to 5 kg),GWAS/QTL,"B - verified primary study, supporting evidence","Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Downgraded: marker is near MAGI-1, not in it, and the signal was only chromosome-wide significant.",Salmo salar; Danio rerio,Ssa13,"Chromosome-wide significant association with growth rate (days to 5 kg) in farmed Atlantic salmon on Ssa13. NOTE: the paper describes the associated marker as lying in a hypothetical protein NEAR MAGI-1, and the signal was chromosome-wide rather than genome-wide significant - the gene assignment is loose.",Gutierrez AP et al. (2015) PLoS ONE 10:e0119730,Genome-wide association study (GWAS) for growth rate and age at sexual maturation in Atlantic salmon (Salmo salar),10.1371/journal.pone.0119730,25757012,teleost,magi1b,B,False,False,direct_symbol_match,high,magi1b,NC_069729.1,3588976.0,3733647.0,,chr20,ok,chr20:3588976-3733647,
map4l,MAP4; map4,microtubule associated protein 4 like,microtubule-associated protein 4,ENSDARG00000068745,ZDB-GENE-070912-581,2,24177006.0,24252506.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Cytoskeleton,Body weight,GWAS/QTL,A - named in a verified primary teleost study,"Second-order check: source paper text read and the gene, trait, locus and effect size below confirmed against it (4 Sep 2026)",Oncorhynchus mykiss; Danio rerio,Omy15,Second-ranked single-marker association for body weight gain in rainbow trout (~6% of variation); critical role in myogenesis.,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,map4l,A,False,False,direct_symbol_match,high,map4l,NC_069723.1,13561070.0,13578348.0,,chr14,ok,chr14:13561070-13578348,
matn1,MATN1,matrilin 1,matrilin 1,ENSDARG00000030215,ZDB-GENE-050307-3,19,43314700.0,43338280.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Body shape; body height,Pathway core,"C - pathway annotation only, no primary study cited",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Attribution removed: the gene does not appear in the bighead carp paper.,Danio rerio,,Cartilage ECM protein among body-shape candidate genes in bighead carp. NOTE: this gene was attributed to the bighead carp GWAS in earlier revisions; retrieving that paper shows the gene is NOT mentioned in it. No teleost growth study is cited here.,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,matn1,C,False,False,direct_symbol_match,high,matn1,NC_069732.1,12825708.0,12831123.0,,chr23,ok,chr23:12825708-12831123,
mc3r,MC3R,melanocortin 3 receptor,melanocortin 3 receptor,ENSDARG00000021369,ZDB-GENE-030502-3,8,28654289.0,28655338.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Melanocortin receptor modulating energy balance,Volkoff H (2016) Frontiers in Neuroscience 10:540; Ronnestad I et al. (2017) Frontiers in Endocrinology 8:73,The neuroendocrine regulation of food intake in fish: a review of current knowledge | Appetite-controlling endocrine systems in teleosts,10.3389/fnins.2016.00540; 10.3389/fendo.2017.00073,28458653,teleost,mc3r,B,False,False,direct_symbol_match,high,mc3r,NC_069717.1,9015141.0,9016401.0,,chr8,ok,chr8:9015141-9016401,
mc4r,MC4R,melanocortin 4 receptor,melanocortin 4 receptor,ENSDARG00000015515,ZDB-GENE-021223-2,2,27932781.0,27933864.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Body weight; body size,Functional; GWAS/QTL; Expression,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Xiphophorus spp.; Oreochromis niloticus; Sparus aurata,,Copy-number variation at MC4R determines male body size polymorphism in Xiphophorus; central brake on feed intake and growth,Lampert KP et al. (2010) Current Biology 20:1729-1734; Ji RL et al. (2026) Biomolecules 16:839,Determination of onset of sexual maturation and mating behavior by melanocortin receptor 4 polymorphisms | Neural melanocortin receptors in fish: insights into growth regulation and aquaculture advancement,10.1016/j.cub.2010.08.029; 10.3390/biom16060839,20869245; 42352306,teleost,mc4r,A,False,False,direct_symbol_match,high,mc4r,NC_069730.1,2029649.0,2032251.0,,chr21,ok,chr21:2029649-2032251,
mcts1,MCTS1,MCTS1 re-initiation and release factor,MCTS1 re-initiation and release factor,ENSDARG00000025972,ZDB-GENE-040426-957,14,33507608.0,33513079.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,mTOR / PI3K-AKT & translation,Translation,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy14,Translation re-initiation factor promoting proliferation,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,mcts1,A,False,False,direct_symbol_match,high,mcts1,NC_069716.1,15657832.0,15662360.0,,chr7,ok,chr7:15657832-15662360,
mdfic,"MDFI, I-mfa; mdfi (grass carp gene name)",MyoD family inhibitor domain containing,MyoD family inhibitor,ENSDARG00000074223,ZDB-GENE-070705-162,4,6339572.0,6416414.0,-,protein_coding,Ensembl ID and GRCz11 coordinates verified. NOTE: the grass carp study names the gene mdfi; the zebrafish gene retrieved here is mdfic - orthology of the grass carp gene to mdfi vs mdfic was not confirmed.,open,open,Myogenesis & sarcomere,Myogenic regulatory network,Muscle mass; body weight,Functional,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Ctenopharyngodon idella; Danio rerio,,CRISPR/Cas9 disruption of mdfi is associated with enhanced muscle growth in grass carp; MDFI is an inhibitor of MyoD-family myogenic transcription factors.,Zhang R et al. (2026) Aquaculture 625:744335,CRISPR/Cas9-mediated disruption of mdfi is associated with enhanced muscle growth in grass carp (Ctenopharyngodon idella),10.1016/j.aquaculture.2026.744335,,teleost,mdfic,A,False,False,direct_symbol_match,high,mdfic,NC_069727.1,16841959.0,16866934.0,,chr18,ok,chr18:16841959-16866934,
med12,MED12,mediator complex subunit 12,mediator complex subunit 12,ENSDARG00000103953,ZDB-GENE-060125-1,14,23593989.0,23679139.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Transcription,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy14,Mediator subunit in developmental transcription; trout growth candidate,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,med12,A,False,False,direct_symbol_match,high,med12,NC_069718.1,9939841.0,9981770.0,,chr9,ok,chr9:9939841-9981770,
mef2aa,MEF2A,myocyte enhancer factor 2aa,myocyte enhancer factor 2aa,ENSDARG00000031756,ZDB-GENE-990415-163,18,23187419.0,23356077.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Myogenic regulatory network,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Sarcomere gene activation and muscle maintenance,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,mef2aa,C,False,False,direct_symbol_match,high,mef2aa,NC_069715.1,15805275.0,15891467.0,,chr6,ok,chr6:15805275-15891467,
mef2ca,MEF2C,myocyte enhancer factor 2ca,myocyte enhancer factor 2ca,ENSDARG00000029764,ZDB-GENE-980526-253,10,43544814.0,43655449.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Myogenic regulatory network,Muscle growth; craniofacial,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Cooperates with MRFs to activate sarcomeric gene programme,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,mef2ca,C,False,False,blast_ortholog,high,mef2cb,NC_069733.1,9601206.0,9668022.0,BLAST ortholog (protein XP_026787034.1),chr24,ok,chr24:9601206-9668022,mef2cb
mef2cb,MEF2Cb,myocyte enhancer factor 2cb,myocyte enhancer factor 2cb,ENSDARG00000009418,ZDB-GENE-040901-7,5,48179340.0,48307804.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Myogenic regulatory network,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicated MEF2C; muscle differentiation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,mef2cb,C,False,False,direct_symbol_match,high,mef2cb,NC_069733.1,9601206.0,9668022.0,,chr24,ok,chr24:9601206-9668022,mef2ca
